field	type	description	sample value
@id	<class 'str'>		http://collections.naturalsciences.be/cpb/nh-collections/countries/belgium/be-rbins/7-cetaf-passport-education-and-training
@type	<class 'str'>		cetaf_passport_education_and_training
created	<class 'str'>		2019-09-11T16:27:46+02:00
description	<class 'str'>		
description_of_main_activities_carried_in_communication_and_outreach_online	text/html		
description_of_main_activities_carried_in_communication_and_outreach_other	text/html		
description_of_main_activities_carried_in_communication_and_outreach_with_non_universities	text/html		
description_of_main_activities_carried_in_communication_and_outreach_with_universities	text/html		
description_of_main_activities_carried_out_in_training	text/html		
education_discipline	<class 'list'>		['Zoology']
education_discipline_if_other	<class 'NoneType'>		
education_email	<class 'str'>		pierre.coulon@naturalsciences.be
education_first_name_s	<class 'str'>		Pierre
education_name_s	<class 'str'>		Coulon
education_phone	<class 'NoneType'>		
education_representative_position_in_the_institution	<class 'str'>		Head of Publics Operational Directorate
education_title_s	<class 'str'>		Mr
items_total	<class 'int'>		0
modified	<class 'str'>		2020-11-10T10:40:40+01:00
orcid_id	<class 'NoneType'>		
parent	<class 'dict'>		{'@id': 'http://collections.naturalsciences.be/cpb/nh-collections/countries/belgium/be-rbins', '@type': 'collection_institution', 'description': '', 'review_state': 'published', 'title': 'Royal Belgian Institute of Natural Sciences'}
review_state	<class 'str'>		published
title	<class 'str'>		BE-RBINS Passport Education and Training
uid	<class 'str'>		aca7c10392564613b92a3cd24c4da089
