field	type	description	sample value
@id	<class 'str'>		http://collections.naturalsciences.be/cpb/nh-collections/countries/belgium/be-rbins/3-cetaf-passport-facilities
@type	<class 'str'>		cetaf_passport_facilities
created	<class 'str'>		2019-09-12T10:34:03+02:00
description	<class 'str'>		
exhibitions	text/html		
items_total	<class 'int'>		11
list_of_facilities	text/html		
list_of_laboratories	text/html		
modified	<class 'str'>		2020-11-10T10:25:54+01:00
other_scientific_facilities	text/html		
parent	<class 'dict'>		{'@id': 'http://collections.naturalsciences.be/cpb/nh-collections/countries/belgium/be-rbins', '@type': 'collection_institution', 'description': '', 'review_state': 'published', 'title': 'Royal Belgian Institute of Natural Sciences'}
review_state	<class 'str'>		published
title	<class 'str'>		BE-RBINS Passport Facilities
uid	<class 'str'>		34955e8547da41999c8e7bdb40297ab1
